Код в 1С, ,Толщина,Наименование,Размер листа,Упаковка,,,Цена,,,,Просчет,,,,Объем,,,,
,кг/м³,мм,-,мм,плит,м² ,м³,руб/упак,руб/лист,руб/м²,,Кв.м.,Кол-во уп,Сумма,,Листов,Итого м³,,,
00-00000896,160 гр/м2,,"Сетка стеклотканевая фасадная (рядовая) FASADPRO2000, 4х5 мм, 1х50м, 2000 Н, ГОСТ Р 55225-2017, А",1000х50000,,50,,3 380 ₽,,68 ₽,,0,"0,00",0 ₽,,,,,,0
,,,,,,,,,,#DIV/0!,,0,#DIV/0!,#DIV/0!,,,,,,#DIV/0!
,Дюбеля кратно 100 шт,,,,,,,,,,,,,,,,,,,
НФ-00000209,,,Дюбель мм IZO для теплоизоляции с пластиковым гвоздём Tech-KREP 10х90,10х90,,,,6 ₽,,,,0,"0,00",0 ₽,,,,,,
НФ-00000206,,,Дюбель IZM для теплоизоляции с металлическим гвоздём Tech-KREP 10х90,10х90,,,,7 ₽,,,,0,"0,00",0 ₽,,,,,,
00-00003462,,,Дюбель IZL-T для теплоизоляции c термоголовкой Tech-KREP 10х100,10х100,,,,11 ₽,,,,0,"0,00",0 ₽,,,,,,
НФ-00000211,,,Дюбель IZO для теплоизоляции с пластиковым гвоздём Tech-KREP 10х120,10х120,,,,8 ₽,,,,0,"0,00",0 ₽,,,,,,
00-00000234,,,Дюбель IZM для теплоизоляции с металлическим гвоздём Tech-KREP 10х120,10х120,,,,9 ₽,,,,0,"0,00",0 ₽,,,,,,
00-00003021,,,Дюбель IZL-T для теплоизоляции c термоголовкой Tech-KREP 10х120,10х120,,,,12 ₽,,,,0,"0,00",0 ₽,,,,,,
00-00002420,,,Дюбель IZL-T для теплоизоляции c термоголовкой Tech-KREP 10х160,10х160,,,,14 ₽,,,,0,"0,00",0 ₽,,,,,,
,,,,,,,,,,,,0,"0,00",0 ₽,,,,,,
,Для монтажа утеплителя,,,,,,,,,,,,,,,,,,,
00-00000230,,,Клей для теплоизоляции Сухов Теплофасад 25 кг универсальный (Штукатурно-армирующий клей),,,4,,465 ₽,,,,0,"0,00",0 ₽,,,,,,0
00-00000346,,,Грунтовка глубокого проникновения 10 л СУХОВ,,,70,,,,,,0,"0,00",0 ₽,,,,,,0
00-00004190,,,"Клей-пена Технониколь Professional, 1000 мл",,,10,,600 ₽,,,,0,"0,00",0 ₽,,,,,,0
00-00000670,,,Монтажная пена Технониколь 750 мл,,,10,,650 ₽,,,,0,"0,00",0 ₽,,,,,,0
00-00003571,,,Очиститель монтажной пены SILMAC 500мл,,,10,,180 ₽,,,,0,"0,00",0 ₽,,,,,,0
НФ-00000664,,,"Пистолет для монтажной пены, пластиковый корпус",,,1,,440 ₽,,,,0,"0,00",0 ₽,,,,,,
НФ-00000665,,,"Пистолет для монтажной пены, алюминиевый корпус (в коробке)",,,1,,770 ₽,,,,0,"0,00",0 ₽,,,,,,
00-00002063,,,Пистолет для монтажной пены Fomeron Skill,,,1,,850 ₽,,,,0,"0,00",0 ₽,,,,,,0
00-00002150,,,ЦЕРЕЗИТ СТ17 PRO Грунтовка глубокого проникновения (10л),,,100,,1 250 ₽,,,,0,"0,00",0 ₽,,,,,,0
,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,,,,,,#DIV/0!
,Профиль ПВХ,,,,,,,,,,,,,,,,,,,
00-00000235,,,"Профиль ПВХ 10 х 15 угловой фасадный с арм.сеткой 2,5м 1/100","100х150, 2500",,"2,5",,112 ₽,,,,0,"0,00",0 ₽,,,,,,0
НФ-00000557,,,"Профиль ПВХ 6 мм примыкающий оконный с арм.сеткой 2,4м 1/50","60, 2400",,"2,4",,193 ₽,,,,0,"0,00",0 ₽,,,,,,0
,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,,,,,,#DIV/0!
,Подложка,,,,,,,,,,,,,,,,,,,
00-00004271,,,"Подложка с разметкой металлизированная ПЛР 3мм 1,2х25м Энергоизол",1200х25000,,30,,1 280 ₽,,,,0,"0,00",0 ₽,,,,,,0
,,,,,,,,,,,,,,,,,,,,#DIV/0!
,OSB Kronospan Класс L-3 водостойкая,,,,,,,,,,,,,,,кг,,,,
НФ-00000435,,9,OSB 9x1220x2440 мм (96 л/паллет),1220х2440,,"2,9768","0,0268",670 ₽,,225 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000436,,12,OSB 12x1220x2440 мм (72 л/паллет),1220х2440,,"2,9768","0,0357",850 ₽,,286 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000437,,15,OSB 15x1220x2440 мм (58 л/паллет),1220х2440,,"2,9768","0,0447",1 050 ₽,,353 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000438,,18,OSB 18x1220x2440 мм (48 л/паллет),1220х2440,,"2,9768","0,0536",1 300 ₽,,437 ₽,,0,"0,00",0 ₽,,0,0,,,0
НФ-00000439,,22,OSB 22x1220x2440 мм (40 л/паллет),1220х2440,,"2,9768","0,0655",1 650 ₽,,554 ₽,,0,"0,00",0 ₽,,0,0,,,0
,,,,,,,,,,#DIV/0!,,0,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,#DIV/0!
,ГКЛ,,,,,,,,,,,,,,,,,,,
